MNAME
403
109
403
238
275
241
177
259
130
158
129
158
167
158
403
259
273
159
146
146
146
214
148
214
154
142
224
154
142
142
142
154
142
142
142
238
275
241
177
259
130
158
129
167
158
238
275
241
177
259
130
158
129
167
158
238
275
241
177
259
130
158
129
158
167
158
142
142
224
403
259
273
159
146
146
146
238
214
148
214
154
142
224
154
142
142
142
142
403
142
396
269
403
391
403
238
275
241
177
259
130
158
129
158
167
158
403
109
403
403
67
160
403
238
275
241
177
259
57
43
238
254
238
275
241
177
259
130
158
129
167
158
403
403
238
275
241
177
259
130
158
129
167
158
403
403
259
273
403
159
59
146
124
146
146
214
403
272
184
148
181
214
185
154
183
142
222
241
222
221
230
403
403
259
273
159
146
214
148
214
154
142
403
389
122
238
275
241
177
259
57
43
238
254
238
275
241
177
259
57
238
275
241
177
259
57
238
275
241
177
275
222
222
241
122
246
220
43
238
254
259
226
225
226
225
226
225
229
228
229
225
226
225
229
225
229
228
227
186
186
186
186
186
186
186
186
186
186
186
186
241
259
57
238
275
241
177
259
57
186
186
186
186
186
186
186
186
186
186
186
186
186
259
226
225
229
228
227
186
400
259
226
225
229
186
186
186
186
186
186
186
186
186
186
186
186
186
186
186
227
226
225
229
228
227
259
226
225
229
228
227
186
400
226
227
259
226
225
229
228
227
186
400
226
227
186
259
226
225
229
228
227
259
226
225
229
228
228
227
259
226
225
229
228
227
186
400
226
227
339
227
259
228
227
186
400
226
227
339
226
225
229
228
227
259
226
225
229
228
227
339
227
226
225
229
259
226
225
225
229
228
227
186
400
226
227
339
227
226
226
226
225
229
228
227
226
259
226
225
229
228
227
186
259
226
225
229
228
227
186
225
229
228
238
403
403
403
259
33
159
214
148
214
259
114
120
120
120
120
120
342
342
342
342
342
342
342
342
342
342
342
214
342
342
342
259
114
177
259
130
129
227
226
167
403
403
403
403
214
342
342
342
342
342
238
275
241
177
259
130
129
167
403
403
403
403
403
109
403
403
403
67
160
238
275
241
177
259
130
129
167
120
120
120
120
120
342
259
33
159
214
148
403
403
276
238
275
241
177
259
130
129
167
403
403
67
160
238
275
241
177
259
130
158
129
167
158
238
403
275
109
241
403
177
259
130
403
158
403
129
403
167
403
158
403
403
67
160
403
403
403
374
280
365
397
403
238
275
241
177
259
130
158
129
167
158
238
275
241
177
259
130
158
129
167
158
403
403
403
403
238
275
241
177
259
130
158
129
167
158
403
259
273
159
146
146
146
214
148
214
154
142
224
154
142
142
142
142
142
403
396
269
403
391
403
403
108
241
241
230
230
403
403
403
403
403
403
275
241
177
109
403
403
403
275
241
177
109
403
403
108
241
241
403
403
238
275
241
177
259
130
158
129
167
158
238
275
241
177
259
130
158
129
167
158
403
259
273
159
146
146
146
146
214
148
214
154
142
224
154
142
142
142
142
142
142
142
142
238
275
130
158
129
167
158
403
272
184
181
185
183
222
241
222
241
222
241
222
241
122
246
220
221
230
230
403
238
275
241
177
259
130
158
129
167
158
403
259
273
159
146
146
146
214
241
177
259
403
403
403
403
403
238
275
241
177
259
57
43
238
254
238
275
241
177
259
130
158
129
167
158
403
403
403
403
374
365
397
403
403
403
109
403
403
403
403
403
403
67
160
148
214
154
142
403
42
238
378
275
376
241
393
177
272
259
184
130
181
158
230
129
167
158
403
403
259
273
159
146
146
146
214
148
214
154
142
403
272
184
181
185
183
222
241
222
241
222
403
403
403
241
222
241
122
246
220
221
230
230
403
67
160
403
403
403
403
403
403
357
219
182
403
403
357
219
230
182
403
59
124
403
403
42
378
393
272
184
181
230
403
403
403
275
241
177
109
403
275
241
177
109
403
403
403
59
124
403
403
403
403
403
403
13
202
403
13
202
238
275
241
177
259
130
158
129
167
158
403
272
184
181
185
183
222
241
222
241
222
241
222
241
122
403
403
403
221
109
230
403
230
403
59
124
403
272
184
181
185
183
222
241
222
222
222
122
230
403
403
403
403
403
403
109
403
403
403
59
124
403
403
272
184
181
185
183
222
241
222
246
220
403
67
160
403
109
403
403
403
272
184
181
185
183
222
241
222
241
222
241
222
241
122
246
220
221
403
403
403
403
13
202
238
275
241
177
259
130
158
129
167
158
403
109
